County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Slåttervall, första skörd",..,44700,..,..,65900,90800,57100,..,69000,..,90600,47900,71100,41600,79900,90900,72900,49500
,"Slåttervall, återväxt",..,10000,..,..,..,..,..,..,..,..,..,..,..,23000,53000,..,..,..
,"Slåttervall, total vallskörd",..,54700,..,..,..,..,73000,..,87800,..,105500,65400,75100,64600,132900,110400,84300,54700
03 Uppsala län,Höstvete,130200,151900,190000,196000,151800,128500,118700,180000,26200,240000,260500,183000,241200,101900,278900,284200,279600,267700
,Vårvete,38700,22000,22200,25000,31600,44300,32400,33700,70500,50000,50500,53600,44100,22400,29800,33500,22100,26000
,Råg,7700,6300,9400,11200,10800,..,3700,5700,..,5800,5200,..,..,2400,6900,6400,3200,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3600
,Vårkorn,137900,108600,138400,169500,167700,112800,111000,126200,176500,155100,151200,161100,145800,84400,135000,142600,75500,101100
,Havre,34700,32600,52600,40200,36600,22700,27700,33600,38300,31900,37200,34100,29900,13300,34100,44500,22600,29600
,Rågvete,..,4800,..,5100,..,..,..,..,..,8100,.,.,.,.,.,.,..,3600
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,8500,5300,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,5600,6600,6400,..,..,..,..,..,6200,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,229900,499300,524200,413200,436700
,Ärter,8800,7100,5600,3600,6700,8400,5700,5000,6700,8600,17800,19200,15500,10400,16300,17300,13300,18500
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2200,3800
,Höstraps,..,2200,4000,3000,..,2400,2800,5400,..,6500,7000,7300,14100,5800,14300,11300,12900,8000
,Vårraps,11300,9600,12200,8300,11400,14300,15600,19500,19900,4000,1400,3600,2400,2100,..,2700,3700,10400
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,7600,..,..,10000,4700,..,..,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,1700,..,..,..,..,1500,..,..,..,..,1200,2100,..,..,..,..,..,..
,Matpotatis,4300,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",87100,69500,107400,109000,94600,114200,70100,109600,99400,123300,88800,84500,71900,59800,98000,126000,115000,136000
,"Slåttervall, återväxt",40100,41800,45700,..,57900,52200,48800,84100,..,..,60000,65500,..,59200,61600,67900,66300,102600
,"Slåttervall, total vallskörd",127200,111300,153000,..,152600,166400,118900,193700,149100,204500,148800,150000,93900,119000,159500,193900,181400,238600
04 Södermanlands län,Höstvete,126300,119900,139100,162700,126100,103400,113300,133700,41000,186400,196000,152900,183400,95600,212300,220100,210200,215400
,Vårvete,15900,9600,9700,11000,15600,16400,16900,17600,39800,21000,15800,21400,15000,9300,8700,9000,2700,6800
,Råg,2700,3400,5000,6800,5400,2600,..,..,..,3000,..,..,..,..,..,4300,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,51000,35500,45000,58400,71600,34300,49000,54200,83100,63100,68600,75300,72500,42400,55100,46200,23500,41900
,Havre,37600,38000,49500,41900,43000,21900,40000,40000,47000,32100,33900,30100,19500,9000,21300,31600,19400,24100
,Rågvete,17400,13400,15700,16800,11300,9600,6900,11300,4100,18000,.,.,.,.,.,.,19900,23900
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,19800,9000,12100,7800,18800,20100,19300,23300
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,3100,3400,..,..,..,2600,4900,3100,..,2100,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,168700,326000,337400,283400,319500
,Ärter,4900,3100,2500,2000,3600,3700,2400,1500,2100,2800,4300,5700,4000,3100,3700,2700,2100,3400
,Åkerbönor,..,..,..,..,..,1200,2700,3100,..,2100,3800,4000,2400,1100,..,1800,..,2700
,Höstraps,..,2000,2800,4100,2100,4700,5000,7500,2200,6400,10600,9700,16300,7800,15800,15200,14900,14100
,Vårraps,7300,7000,7900,5500,5900,5100,8700,7600,10000,2200,..,2000,..,..,..,..,..,2500
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,4300,..,5300,9700,3700,2300,2800,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,1300,1100,..,..,2500,2400,1800,..,..,1400,2100,1800,..,..,..,..,..,..
,Matpotatis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",62700,66600,84500,..,77800,80600,80600,98300,92900,102100,140900,77200,78100,74300,97800,66700,90900,95400
,"Slåttervall, återväxt",28400,38500,51700,..,65200,57100,..,49300,44900,81900,86200,31100,32000,68300,49700,24400,..,58700
,"Slåttervall, total vallskörd",91100,105100,136200,..,143000,137700,141600,147600,137900,184100,227100,108300,110100,142600,147500,91100,124300,154100
05 Östergötlands län,Höstvete,290400,274300,302700,315400,319500,265600,292500,338400,201200,391800,428200,381100,442800,259700,460400,445900,403400,440700
,Vårvete,16500,9400,9500,15700,16600,18500,16100,16300,56200,16000,11000,18900,13300,20300,9300,10900,6900,8300
,Råg,16500,14700,15900,20700,25200,12600,16400,18900,16800,21800,19700,9100,14900,11400,20900,16000,11000,..
,Höstkorn,..,..,..,..,7000,6000,5000,..,6200,6900,9900,12100,15200,7800,16900,16100,17300,13800
,Vårkorn,76600,56300,73400,94400,88200,57100,73300,85700,128700,77700,65800,72800,76300,69600,70900,61700,40600,53800
,Havre,43100,37500,54300,40400,41300,16600,30900,35100,50100,32600,37700,38300,36600,19700,31300,41500,31800,36000
,Rågvete,53100,44600,53100,49000,41000,22000,13500,22600,19100,34700,.,.,.,.,.,.,26200,28700
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,39200,26400,28100,10900,28300,31300,26200,28400
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,7700,4700,5500,6000,5900,6200,6700,5800,8100,5100,..,3200,..,..,..,3000,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,401400,639900,626900,538900,591800
,Ärter,14400,11900,8100,6600,11300,8500,9400,6500,8500,9600,13800,15500,17600,9100,11100,12500,9400,10900
,Åkerbönor,..,..,..,3200,8500,6500,13800,15200,13600,10700,19200,18300,17000,5000,10300,11200,10200,13200
,Höstraps,18800,20900,30200,29900,20300,13900,13600,26500,15400,30800,41100,25400,39600,26600,40400,41600,38800,40200
,Vårraps,4900,5200,7200,7000,6200,5200,7600,8500,13400,2900,..,..,..,1800,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,5900,6500,..,5100,7600,12400,12300,11900,8700,10000,6700,5500
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,2400,..,..,..,..
,Oljelin,7600,5500,3200,2400,8800,9400,12200,7000,6200,6100,7200,7900,4200,2300,2200,1500,2400,3700
,Matpotatis,55800,57100,52100,57900,59100,58200,68300,60100,60100,64300,63600,58300,70500,61500,69600,67400,62500,66700
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",158200,133800,142600,111400,155700,165300,142700,182800,138900,166200,188900,158900,177900,143300,190900,163300,189000,161800
,"Slåttervall, återväxt",71900,108300,83600,111100,128700,132700,106200,107200,102700,119900,163500,122400,111400,93700,129500,131100,152300,92300
,"Slåttervall, total vallskörd",230100,242100,226200,222400,284400,298000,248900,290000,241600,286200,352400,281300,289300,236900,320400,294400,341400,254100
06 Jönköpings län,Höstvete,..,3900,4500,..,..,8000,..,..,..,11200,12600,12100,12300,4500,13800,14500,14700,16600
,Vårvete,..,..,..,..,..,..,..,3900,..,3400,2600,2900,..,..,..,..,..,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,22100,10800,18600,18800,17400,17100,17900,16500,25300,22000,23600,23300,25700,8200,18500,26400,21100,20900
,Havre,20900,10500,23400,23300,25200,18400,19900,16900,21000,15800,24200,16600,16600,3500,8800,12000,11800,12700
,Rågvete,5300,4600,5100,4800,3300,..,..,..,..,3500,.,.,.,.,.,.,5400,6700
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,2800,..,..,..,..,..,5200,6600
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,5700,2900,3800,3800,6400,3900,..,..,3900,4300,..,3800,3900,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,19300,50500,63300,58800,64600
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1600,2200
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,4600,5000,5400,6900,13100,15500,14100,18600,17200,14400,10500,12200
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,11400,12700
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,7100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",161600,127100,179400,100600,170000,150000,130100,172200,169100,159600,162200,139200,188500,122800,201000,167700,186200,189600
,"Slåttervall, återväxt",81600,82700,83400,127300,116900,91200,100200,94700,127300,121000,128800,109100,142500,84000,106000,127400,158900,116100
,"Slåttervall, total vallskörd",243200,209800,262900,228000,286900,241100,230300,266900,296300,280600,291000,248200,331100,206800,307000,295100,345000,305700
07 Kronobergs län,Höstvete,..,..,..,..,3200,..,..,..,..,..,..,..,..,..,4000,..,..,..
