County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,"Slåttervall, total vallskörd",125700,104100,145900,179900,176700,219500,160200,204200,147000,214800,169800,180400,165900,148500,136600,129200,163100,162600
10 Blekinge län,Höstvete,12100,9500,11200,13100,17400,16900,16800,22900,20100,24900,27600,29100,25400,11700,29000,26500,25400,24300
,Vårvete,..,..,..,..,6300,..,6700,8700,6800,6900,7500,..,6900,5100,5800,6600,5400,..
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,14300,11900,15500,19100,17600,13500,15300,17300,15900,15800,15600,13200,14800,10600,11900,14600,10300,15200
,Havre,4400,2700,3400,2900,3400,..,..,..,3000,2900,2800,2700,3000,900,..,..,..,..
,Rågvete,4200,5000,4200,4900,5600,4900,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,3300,2900,..,..,4100,4100,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,30600,55700,59000,49200,54200
,Ärter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstraps,..,..,..,1500,..,2300,2200,3000,3500,3700,4200,3400,4100,2300,2200,2500,2700,4600
,Vårraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,9000
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Potatis för stärkelse,103700,82800,65100,87000,83500,74600,92100,74900,71400,76000,75200,86500,85600,62700,76700,81100,80200,75800
,Sockerbetor,46400,39800,41300,34700,39900,37300,45000,42200,44700,41000,13700,25500,26400,17400,22600,21800,23700,21100
,"Slåttervall, första skörd",..,..,..,..,..,..,..,..,38200,..,..,..,..,..,..,..,..,..
,"Slåttervall, återväxt",..,..,..,..,..,..,..,..,17800,..,..,..,..,..,..,..,..,..
,"Slåttervall, total vallskörd",..,..,..,..,..,..,..,..,56000,..,..,..,..,..,..,..,..,..
11 f.d. Kristianstads län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Skåne län,Höstvete,731400,532100,690400,625500,748500,660500,737600,711800,638100,836600,870000,820700,881900,375400,933000,816900,786400,826600
,Vårvete,72700,37000,36400,32000,37700,46100,38800,57400,61300,39200,35800,25900,36000,39200,25400,23800,17100,32700
,Råg,54500,56100,70300,89500,123000,67400,73600,87100,94900,97200,75600,55400,75000,39300,103800,87400,63900,62700
,Höstkorn,11700,13400,22500,23400,42000,34300,28600,23900,32500,32400,27300,32100,32700,13300,40200,36000,33000,36500
,Vårkorn,467300,325500,441700,482300,457900,357800,439200,550100,494000,425900,526800,363300,447900,311700,436500,428900,322900,483500
,Havre,60700,48800,68000,50300,45400,33400,42800,56500,60200,35400,46800,37500,37500,26100,45000,75500,53000,61000
,Rågvete,29200,26000,23800,29400,30600,23000,19600,24700,24300,39900,.,.,.,.,.,.,25800,27700
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,43300,30400,31900,11900,31000,25000,24600,25900
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,9380,..,..,..,9800,12600,6400,5200,..,10500,6900,4200,9100,9300,9800,7300
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,822300,1626600,1506600,1313500,1539700
,Ärter,7800,5000,3700,..,..,4000,..,..,..,..,10100,8200,10000,3400,3500,4200,3500,5800
,Åkerbönor,3200,..,..,..,..,..,3900,..,4800,5800,13100,11500,18800,6600,11300,11400,7600,14700
,Höstraps,55100,82900,63100,108000,160500,139200,110000,123400,159400,175300,189200,128500,168600,89900,188500,158900,151500,195400
,Vårraps,6600,2900,4200,2300,..,1300,2800,5100,3600,..,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,8600,12200,17900,22400,18400,21900,19800,14200,23500,12300,19000,18200
,Majs till grönfoder,..,..,..,..,.,.,37400,37700,54400,63800,65800,64400,61900,45600,79000,62200,73200,70200
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,227400,174100,178100,188200,202000,206800,226600,228800,214000,214900,210800,216000,202600,177100,206800,207700,175000,192300
,Potatis för stärkelse,187000,140700,153700,173700,171500,164700,169700,152000,151500,161300,169400,186300,196200,175200,192000,217100,244200,233200
,Sockerbetor,2115400,1979000,2021800,1885900,2295700,1882100,2377300,2209100,2213600,2406700,1138100,1915900,1890400,1636900,1955200,1956600,1975900,1827200
,"Slåttervall, första skörd",228700,198700,233400,164400,286200,248200,256900,286900,239400,272000,270000,217800,252100,167900,279900,274800,252700,279600
,"Slåttervall, återväxt",106300,99700,139400,161700,198700,152300,203300,173900,189800,198200,162400,181200,227100,140000,201000,276600,229500,156300
,"Slåttervall, total vallskörd",335000,298400,372700,326200,485000,400500,460300,460800,429200,470400,432400,398900,479200,307900,480900,551300,482200,435900
122 f.d. Malmöhus län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13 Hallands län,Höstvete,38600,51000,51100,35000,54900,63600,48200,25900,20400,79600,84900,78500,102100,27700,105800,100000,96300,101900
,Vårvete,19300,11100,10300,15300,13800,14700,13200,29200,39800,18900,17800,15900,12300,16400,13200,11100,7900,10400
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,2700,8000,7500,7800,5900
,Höstkorn,..,..,..,..,..,2700,..,..,..,..,..,4200,6700,..,6700,5900,6400,6700
,Vårkorn,102700,76700,89700,104000,109400,86300,91600,120400,125700,99900,104500,77800,90000,55400,82500,82400,53500,86800
,Havre,50100,35100,45200,46500,39400,29400,31200,34600,42700,36000,33900,33600,31600,15400,27300,37700,26300,42500
,Rågvete,21100,24700,22400,18400,30000,23500,15500,10400,8400,21200,.,.,.,.,.,.,8000,7600
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,21900,12000,11800,2700,11500,8600,8000,7600
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,123000,257600,259900,209200,266600
,Ärter,1000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Åkerbönor,2200,..,..,..,..,..,..,..,..,..,5500,6500,10900,3800,4500,4400,3200,5900
,Höstraps,2000,4500,5100,4700,5600,7700,1800,3800,4800,7500,8500,8800,14400,5000,13700,9700,13100,16700
,Vårraps,2100,1300,1000,..,..,1100,2400,3700,3500,2000,..,..,..,..,..,..,..,..
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,6100,4700,5900,9100,..,6400,9900,15200,7900,5500,5800,3000
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,23900,22200,29000,27600,20900,35200,33800,35100,35100
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,97200,74600,67200,73000,82900,66500,65900,65900,67700,72800,71900,75900,64600,65800,76500,77700,67100,74400
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,37200,32600,36500,38600,50700,39900,50800,47600,55500,56100,21700,40900,42800,41300,51100,48700,47000,44200
,"Slåttervall, första skörd",110600,93400,89500,62000,100300,110400,120000,98300,95100,120000,102700,105900,116000,90200,157000,110900,128500,120900
,"Slåttervall, återväxt",68800,70700,84000,75000,87400,104000,111700,96900,105800,137700,115500,117100,103400,71900,132900,127000,142400,85000
,"Slåttervall, total vallskörd",179400,164200,173400,136900,187700,214400,231600,195200,200900,257700,218100,222900,219400,162100,290000,237900,270900,205900
14 Västra Götalands län,Höstvete,329900,341700,346400,275700,322500,353300,325200,161800,174500,476800,535500,416400,555300,268900,614300,492000,514000,526800
,Vårvete,26100,14800,16600,23200,21800,30800,32900,72600,95000,48400,37000,42300,39500,38300,31700,33700,21100,34400
,Råg,16300,18700,16900,16700,24500,17200,15700,10700,16200,29200,31700,21900,29100,22400,50700,40300,36100,29500
,Höstkorn,..,..,..,5000,7000,9900,7300,..,5200,6500,10700,11400,13600,5400,16300,11500,14900,18600
,Vårkorn,190800,122400,144200,197400,181500,152000,174700,267800,292500,206100,192300,200300,223900,201800,218100,193500,138400,228900
,Havre,259300,234500,318800,315500,268400,252200,277500,297500,339600,267100,282300,325800,285200,177400,274000,302000,215400,293400
,Rågvete,69600,71700,70100,56700,52600,35400,18800,14500,14000,37200,.,.,.,.,.,.,27900,27200
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,36600,23500,25400,13600,32200,25100,26900,24700
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,33800,18800,23400,22800,26100,30100,26600,19800,30100,15300,18600,24700,19800,12700,19100,20800,14200,21600
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,740600,1257100,1119300,982400,1180500
,Ärter,10600,8000,4500,5200,7600,10100,5200,4900,4700,4100,6700,8000,6800,5000,7600,6600,6300,12600
,Åkerbönor,7800,7100,5500,7900,12100,16000,23800,24700,27900,29900,40800,46000,43900,13800,22400,20200,16600,27400
,Höstraps,22700,24600,25300,28300,19900,24300,11000,15300,12000,27100,34200,25400,45100,32500,49300,40600,48900,55000
,Vårraps,16200,13000,10100,8300,8600,8800,11900,16300,15100,5500,1100,1400,..,..,..,..,..,5100
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,2700,1800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,27800,20400,32200,39100,28100,19500,25500,35100,23100,23400,23700,20500
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,6100,..,..,..,..,..,..,10400
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,11400,..,..,10300,..,..,18300,15500
,Oljelin,2000,1900,..,..,3000,6100,4500,2700,..,..,..,1000,..,..,..,..,..,..
,Matpotatis,98000,88000,91300,94900,88100,81200,80000,77600,77400,72000,65000,75500,70600,50700,68400,64900,54300,57300
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"Slåttervall, första skörd",363600,315100,336800,266300,337200,352100,394200,423900,350300,421000,523500,346900,419300,340300,471400,402700,399100,421900
,"Slåttervall, återväxt",200500,192100,204800,337800,333100,298900,271100,229700,272500,357500,344600,296700,303600,262600,359100,378600,311200,335100
,"Slåttervall, total vallskörd",564100,507300,541500,604100,670300,651000,665300,653600,622800,778600,868100,643500,722900,602900,830400,781300,710300,757000
141 f.d. Göteborgs o Bohus län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15 f.d. Älvsborgs län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16 f.d. Skaraborgs län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17 Värmlands län,Höstvete,9700,15900,15600,15300,9700,15000,12200,..,7400,23500,31300,17500,33600,10300,42800,31200,20500,30000
,Vårvete,..,..,..,..,..,4100,8500,11300,12500,11900,14400,18100,15200,6200,10100,8800,12200,12300
,Råg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Höstkorn,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårkorn,44600,28100,37300,36400,32700,32500,29500,43000,43100,35100,34500,36300,34800,19100,37700,34000,28600,34300
,Havre,34100,27800,47300,46900,38100,26200,34300,32800,27400,28500,40400,48700,44000,18700,47600,54800,38200,52600
,Rågvete,8500,11800,12600,12900,6000,..,..,..,..,..,.,.,.,.,.,.,..,..
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..
,Blandsäd,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Majs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,56200,148800,136000,105600,134300
,Ärter,1400,1100,..,..,..,..,900,..,..,..,..,1600,..,1200,1400,..,1300,2400
,Åkerbönor,..,..,..,..,..,..,..,..,..,..,..,3400,3800,..,..,1600,1500,1800
,Höstraps,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1700,..,..
,Vårraps,1400,900,1000,..,..,1200,1800,2800,3300,..,..,..,..,..,..,..,..,2300
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Vårrybs,1400,800,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,5200,8300,5900,7700,5600,7000,6400,8400,10300,6000,6300,4500
,Majs till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,..,..,..,..,..,..,..,..,..,..,..,..
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,13300,12400,13200,11900,10400,11600,12600,8600,10900,8400,7600,7800,7400,..,..,..,4100,4000
,Potatis för stärkelse,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
