County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Vårvete,7550,5020,4950,6260,7140,10910,10070,9270,16440,10640,9530,11950,9180,9840,6960,6480,6350,5740
,Råg,1480,1470,1530,1990,2250,1040,1140,1160,590,1210,910,580,600,650,1240,1060,620,630
,Höstkorn,80,80,90,240,240,60,20,40,120,70,250,400,550,770,940,..,780,750
,Vårkorn,31960,26490,29650,37940,39030,29120,30570,31840,40780,33290,31220,32190,28740,33180,27470,28210,23070,21240
,Havre,8600,8460,11690,10610,9460,7600,8630,9190,10640,7420,8010,8470,6610,6380,7420,9810,8150,7140
,Rågvete,960,1090,1300,950,930,650,650,870,540,1300,.,.,.,.,.,.,700,730
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,1420,1030,990,640,830,..,650,680
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,290,390,140,110,120,..,60,50
,Blandsäd,1620,1730,1880,1520,1620,1670,1840,2010,1880,1700,850,970,650,650,830,..,720,640
,Majs,..,..,..,..,40,..,0,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,79190,84290,85700,83260,81360
,Ärter,2800,2200,1810,1530,2240,3640,2210,1970,2400,2720,4710,5180,4720,4720,4520,4910,4510,5280
,Åkerbönor,140,150,140,160,260,550,620,560,420,540,700,730,740,620,620,..,920,1370
,Höstraps,370,930,1330,1660,460,900,1190,1870,720,1940,1930,2280,4170,3690,5070,3090,3730,3900
,Vårraps,5530,5390,5940,4060,5300,8060,7440,9030,11530,2040,600,1430,1210,1490,520,1060,1730,3710
,Höstrybs,340,210,320,250,60,120,140,180,30,110,210,220,230,210,320,..,340,90
,Vårrybs,480,580,340,170,180,200,130,120,190,90,10,10,90,80,60,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,1110,1120,890,1440,1820,1530,2340,5710,1540,..,750,1170
,Majs till grönfoder,..,..,..,..,.,.,130,130,90,120,100,110,100,60,60,..,30,60
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,210,80,80,260,170,140,310,720,180,..,260,580
,Oljelin,960,1030,490,180,780,1380,710,260,190,350,610,990,500,330,240,..,140,340
,Matpotatis,240,240,300,300,270,270,260,200,200,200,180,200,170,150,130,130,110,110
,Potatis för stärkelse,0,..,..,..,..,..,..,..,..,..,0,0,..,..,..,..,..,..
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",28520,28170,37950,42470,33290,36940,35030,39060,40730,35770,33920,32630,27680,35250,35750,39720,36940,39810
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,39720,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,39720,.,.
04 Södermanlands län,Höstvete,22170,23420,24200,26400,24880,23390,24120,22090,10060,27080,27630,24820,29210,22410,30230,30400,32280,32270
,Vårvete,3540,2400,2280,2830,3360,4340,4270,4170,8880,5050,3360,4530,3550,3940,2210,2330,1510,1650
,Råg,740,880,920,1260,1150,900,800,540,410,680,590,270,450,330,740,870,590,320
,Höstkorn,20,20,..,110,120,250,330,50,160,30,130,350,420,360,480,..,640,540
,Vårkorn,11810,9530,10660,14190,15550,11430,11920,13840,18170,13960,13480,15460,14880,16300,13070,10900,8580,8830
,Havre,10730,11440,11260,11470,10170,8930,9560,10890,12500,8270,8030,8080,5210,4420,5260,7010,6530,5750
,Rågvete,3040,2930,2980,3040,2550,2260,1790,2040,1220,2850,.,.,.,.,.,.,3900,4190
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,3270,1900,2130,2050,2940,3140,3740,4050
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,290,170,270,260,160,..,170,140
,Blandsäd,980,1040,790,770,760,1300,1540,1000,890,650,1040,640,350,470,490,..,400,630
,Majs,..,..,..,..,10,..,0,..,..,..,..,0,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,50530,55600,55850,54420,54180
,Ärter,2100,1330,910,840,1420,1800,770,870,690,950,1420,1640,1530,1440,1270,1060,1110,990
,Åkerbönor,80,130,150,290,530,780,900,890,940,1000,1160,1170,980,1050,700,740,910,830
,Höstraps,590,830,1000,1520,1000,1890,1850,2670,970,1880,2840,2670,4730,4460,4920,4390,4560,5120
,Vårraps,3660,3660,4120,2930,3170,3550,3840,3970,6070,1190,400,920,580,710,460,..,410,1020
,Höstrybs,250,240,220,130,90,100,50,90,30,130,230,120,220,70,70,..,150,..
,Vårrybs,550,460,260,190,90,110,50,100,280,70,0,10,10,..,..,..,..,30
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,780,790,1160,1600,1240,1410,2060,5840,1730,1380,2040,750
,Majs till grönfoder,..,..,..,..,.,.,90,60,60,110,140,140,140,120,220,..,180,180
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,220,100,60,190,70,60,190,470,90,..,100,70
,Oljelin,830,780,400,390,1380,2140,1210,740,510,1020,1060,850,460,380,190,..,620,580
,Matpotatis,110,100,90,80,90,90,80,80,70,50,50,50,60,50,40,40,40,40
,Potatis för stärkelse,..,..,..,..,..,0,0,0,0,0,0,0,..,0,0,..,..,..
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",26440,27270,29710,..,31600,31700,33970,30050,33190,35910,38140,28690,31090,38770,37750,34060,35140,34150
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,34060,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,34060,.,.
05 Östergötlands län,Höstvete,43700,46140,45400,47280,48090,48150,52620,50180,32760,55190,56120,56010,57720,44640,59150,58500,60140,61250
,Vårvete,3400,2280,2180,4010,3390,4470,3960,3990,11050,3450,2540,3730,2530,6150,1980,2140,2010,1780
,Råg,2880,2770,2760,3220,4090,2820,2810,2860,3160,3110,2630,1330,2000,1930,2820,2400,1680,1280
,Höstkorn,300,200,200,350,1200,1440,1010,840,1110,1060,1220,1930,2020,1480,2070,2160,2480,2060
,Vårkorn,17010,13480,14690,21750,17080,14210,14890,17230,24590,15990,12380,13560,12440,18990,12330,11350,9540,9130
,Havre,10540,10230,10990,11400,9110,5970,7950,8820,11350,8300,8990,8070,7380,7200,6500,9070,9540,7140
,Rågvete,8780,8760,9210,8120,8380,5610,2950,3580,3780,5770,.,.,.,.,.,.,5170,4890
