County,Crop,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,..,20,20,10,0,..,30,20
,Blandsäd,..,90,150,160,140,120,100,180,90,40,40,60,50,..,70,..,20,30
,Majs,..,..,..,..,0,..,0,40,10,50,60,70,60,..,20,..,..,10
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,8560,8850,9120,9380,8730
,Ärter,70,30,20,20,30,80,40,30,20,20,90,70,30,..,80,..,90,140
,Åkerbönor,..,0,..,..,..,0,0,10,40,60,140,190,210,140,190,..,70,60
,Höstraps,170,300,390,480,600,740,660,760,1050,930,990,950,1140,920,740,720,830,1290
,Vårraps,160,170,120,180,160,90,120,100,180,80,20,20,30,40,10,..,40,60
,Höstrybs,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..
,Vårrybs,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,280,260,310,410,440,350,540,920,530,..,330,240
,Majs till grönfoder,..,..,..,..,.,.,480,430,480,480,480,510,560,640,670,..,750,810
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,110,180,160,200,80,60,120,130,260,..,190,80
,Oljelin,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Matpotatis,120,110,140,130,160,110,130,100,70,80,100,90,90,80,70,70,50,60
,Potatis för stärkelse,2730,2550,2460,2160,2120,2200,2440,1790,1780,1810,1870,1940,2010,2000,1850,1930,1940,1870
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,300,330,329
,"Slåttervall, första skörd",..,..,..,..,..,..,..,..,12000,..,..,..,..,..,..,..,..,..
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,..,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,..,.,.
11 f.d. Kristianstads län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Skåne län,Höstvete,93920,89450,91230,81570,91150,100040,98770,90750,84360,99470,103250,107000,103490,74960,105770,98330,104830,93020
,Vårvete,12650,10030,6520,6720,6100,9210,7230,9900,10510,6730,5550,5430,6670,13830,4330,4150,3780,5080
,Råg,9130,10040,11650,12560,17430,11230,11610,12290,14320,13240,11240,8470,10370,8310,13980,12920,11010,8520
,Höstkorn,1790,2390,3780,3780,6650,6320,5100,3470,4910,4710,4370,5270,4660,3140,5290,5290,5470,4820
,Vårkorn,85520,76870,83850,103760,76870,66100,76860,86520,79180,71630,78450,67310,68300,97560,66050,66710,62300,65920
,Havre,11750,15220,13920,12450,8680,7350,8540,10420,10040,7150,7880,8190,7410,10200,8420,13520,12120,10170
,Rågvete,4980,5820,4780,4630,5270,4560,3780,3720,4370,6070,.,.,.,.,.,.,4640,4300
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,6990,5270,4700,2740,4460,4100,4380,3890
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,340,200,100,180,100,..,250,410
,Blandsäd,1060,1110,640,440,170,1270,1130,810,720,850,1000,620,460,270,510,..,460,480
,Majs,..,..,1460,530,850,1380,1250,1990,1140,730,700,1330,920,1040,1290,1480,1150,1110
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,212220,210200,207350,205750,193410
,Ärter,2870,2290,1030,520,740,1500,880,470,380,560,2220,2250,2420,1490,1050,1060,1200,1320
,Åkerbönor,1340,780,550,450,380,1020,1060,1520,1320,1650,2980,3170,4070,4380,2840,3290,2860,3380
,Höstraps,16160,24010,21020,27790,39290,40880,33300,30710,45780,45830,48360,44670,48140,36000,43360,43020,43560,48350
,Vårraps,3440,2490,2190,1000,920,1000,1440,2080,1450,510,230,220,240,540,190,..,220,570
,Höstrybs,130,..,40,30,..,20,80,120,100,60,170,110,50,30,50,..,..,30
,Vårrybs,..,30,20,90,..,60,40,60,130,70,10,20,10,70,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,3140,2790,2960,4590,3800,4840,5020,7650,5160,3280,4610,3640
,Majs till grönfoder,..,..,..,..,.,.,4100,3830,4670,5510,5860,5100,5460,5210,6170,5590,5670,6400
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,1150,1050,900,1130,980,1170,1070,1140,940,..,640,670
,Oljelin,590,400,260,140,170,450,340,200,190,150,290,320,320,230,220,..,230,320
,Matpotatis,7190,6680,6590,6490,6600,7140,7370,7180,6700,6810,6360,6670,6450,6090,6200,6230,5610,5700
,Potatis för stärkelse,4690,4520,4620,4310,4260,4230,4260,3520,3550,3620,3770,4080,4550,4820,4470,4970,5710,5530
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28690,27560,28198
,"Slåttervall, första skörd",73100,74010,76630,76490,84950,77940,81620,89720,84340,76590,77980,74400,69300,73490,73860,76540,70110,78540
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,76540,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,76540,.,.
122 f.d. Malmöhus län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
13 Hallands län,Höstvete,5990,8380,8370,5780,8220,9810,8440,4250,3100,10990,11530,12660,13910,6990,13680,13410,14840,14100
,Vårvete,3230,2400,2200,3400,2570,3230,3890,6270,7460,3750,3190,3510,2570,5040,2660,2110,1830,1950
,Råg,440,380,260,250,350,290,260,200,240,430,330,270,430,670,1470,1350,1230,1020
,Höstkorn,50,130,100,110,340,500,390,160,160,260,540,960,1030,510,990,1100,1260,1130
,Vårkorn,21460,19400,19060,24010,21330,18780,20450,24010,22720,18390,18280,17150,16360,18130,15190,15580,13950,14690
,Havre,10680,9890,9800,10690,8720,6670,7970,8400,8480,7120,6540,7290,6380,5900,5330,7000,7320,7290
,Rågvete,3670,4570,4220,3270,5020,4140,3170,1840,1420,3270,.,.,.,.,.,.,1510,1280
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,3530,2160,1800,670,1660,1390,1460,1270
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,60,40,10,..,0,..,40,20
,Blandsäd,860,660,1020,530,890,560,580,400,790,420,660,750,480,350,440,..,330,290
,Majs,..,..,10,100,0,0,520,10,..,..,150,90,20,30,130,..,250,400
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,38280,41570,42950,42520,42160
,Ärter,420,280,270,150,220,430,360,180,160,120,140,190,250,40,150,..,250,260
,Åkerbönor,820,570,360,200,180,390,540,520,700,840,1330,2090,2660,2380,1420,1400,1140,1390
,Höstraps,790,1390,1730,1610,1630,2470,780,1220,1870,2000,2220,2960,3880,2670,3500,3310,4150,4720
,Vårraps,920,820,700,490,600,720,1230,1600,1600,900,370,200,150,330,40,..,160,200
,Höstrybs,..,20,..,..,..,10,..,..,..,10,0,..,20,..,30,..,10,..
,Vårrybs,220,150,60,80,0,20,20,30,.,..,..,..,..,..,..,..,..,..
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,2140,2060,1600,1970,1860,1210,2310,6120,1850,1360,2070,840
,Majs till grönfoder,..,..,..,..,.,.,1480,1810,1840,2010,2170,2260,2440,2610,2950,2690,2580,2870
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,200,160,250,450,330,200,320,870,450,..,400,240
,Oljelin,90,60,20,60,40,180,150,20,..,30,30,30,20,..,..,..,..,..
,Matpotatis,2900,2400,2450,2160,2180,2130,2010,1840,1880,1920,1870,1970,1980,1870,1950,1990,1740,1810
,Potatis för stärkelse,20,10,10,..,..,10,20,0,10,20,20,40,30,70,50,30,50,60
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,700,710,711
,"Slåttervall, första skörd",31040,32580,31250,29300,36900,36560,40270,35300,42540,37640,32400,31780,33860,36690,37000,36210,34490,29880
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,36210,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,36210,.,.
14 Västra Götalands län,Höstvete,52610,57120,58340,49810,61620,61520,62330,27070,29980,69840,72850,68680,73020,49500,76930,70350,77840,69510
,Vårvete,6860,4080,4960,7330,5910,8160,9110,18890,20490,12190,9190,9920,9560,12090,7600,8440,6640,7400
,Råg,3370,3630,3520,3340,5110,4130,3840,2090,3570,5090,5130,3850,4740,5170,7790,6850,5860,4610
,Höstkorn,440,410,590,920,1800,1970,1560,310,1010,920,1660,2370,2130,1370,2390,1890,2320,2840
,Vårkorn,46520,32700,33300,47900,39270,34890,39150,60650,57890,43650,39980,40560,42410,53040,39730,39010,35990,41720
,Havre,65700,69000,71450,85930,68670,59900,67310,75350,74190,60770,60730,66950,59730,58340,55270,65520,62030,58250
,Rågvete,12560,14130,13590,10600,12150,7750,4230,2760,3000,6470,.,.,.,.,.,.,4810,4370
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,6280,4820,4170,2910,4750,4240,4550,3860
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,550,320,90,10,160,..,260,510
,Blandsäd,8960,6260,7060,7000,7880,8180,8370,6770,7280,4710,4970,6230,5210,4980,5270,5210,4300,5180
,Majs,..,..,40,..,60,..,0,..,..,..,0,10,0,..,10,..,30,30
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,187400,199880,201670,199830,193900
,Ärter,4220,2960,2100,1890,2720,3740,2870,1980,1390,1380,2020,2260,1980,2090,2310,2200,2460,3460
,Åkerbönor,3210,3510,2930,3400,3940,5730,6860,8300,7850,8270,10360,12450,12340,10720,7070,7200,7240,7510
,Höstraps,7470,8230,8450,10260,8910,8700,4340,5690,5160,6950,8370,8660,12410,12380,13280,11810,13200,15530
,Vårraps,9400,7500,5740,4020,4910,5540,6340,9340,7350,3000,580,680,560,710,510,..,760,2050
,Höstrybs,60,70,40,60,20,40,10,40,0,40,40,90,60,100,110,..,70,..
,Vårrybs,1800,1560,660,370,300,320,260,250,320,70,60,70,10,30,20,..,200,300
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,6780,6420,8100,8340,7050,4800,6580,15120,5290,6510,8510,5770
,Majs till grönfoder,..,..,..,..,.,.,1310,1280,950,940,790,650,580,680,820,..,780,920
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,2420,2370,2800,3870,3420,2950,3250,4510,3480,3490,3440,3620
,Oljelin,1700,1650,1140,710,1840,4530,3610,2340,480,580,520,570,360,310,150,..,140,410
,Matpotatis,3540,3130,3220,3070,2880,2790,2860,2560,2420,2230,2010,2250,2130,2010,2090,1970,1770,1700
,Potatis för stärkelse,120,110,110,60,110,140,120,60,60,60,80,80,80,110,90,70,80,70
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",123340,124760,125170,137000,132460,140180,147320,146030,141490,146970,141990,124250,132220,137360,139020,136930,130810,140110
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,136930,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,136930,.,.
141 f.d. Göteborgs o Bohus län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
15 f.d. Älvsborgs län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16 f.d. Skaraborgs län,Höstvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Råg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårkorn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Havre,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Rågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrågvete,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Blandsäd,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Spannmål totalt,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Ärter,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Åkerbönor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårraps,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Höstrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Vårrybs,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Stråsädesgrödor (exkl. majs) till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Majs till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Andra ettåriga grödor till grönfoder,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Oljelin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Matpotatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Potatis för stärkelse,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, första skörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, återväxt",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,"Slåttervall, total vallskörd",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
17 Värmlands län,Höstvete,1870,3090,3080,3060,2780,3070,3110,940,1610,3820,4570,3260,5230,2840,5980,4910,4400,5280
,Vårvete,700,370,420,710,750,1020,2140,2840,3060,2940,3080,4150,3630,2930,2190,2200,2840,2740
,Råg,140,340,500,370,450,560,420,160,170,300,240,120,260,160,420,..,490,460
,Höstkorn,50,20,10,40,60,40,50,40,40,80,100,70,120,90,290,..,160,220
,Vårkorn,12140,9260,9240,10540,10750,11050,9190,11730,11400,9610,8350,8370,7850,8390,7740,8000,8360,7660
,Havre,11990,10610,11770,14340,12680,9980,11380,10220,8000,8740,9340,12020,11500,10360,10500,13760,12800,12490
,Rågvete,1480,2310,2360,2330,1880,930,190,140,340,620,.,.,.,.,.,.,120,160
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,310,140,180,90,400,..,100,80
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,300,180,140,50,30,..,20,..
,Blandsäd,680,700,250,530,720,800,750,580,780,750,410,460,730,300,630,..,570,550
,Majs,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
,Spannmål totalt,..,..,..,..,.,.,.,.,.,.,.,.,.,25200,28180,30460,29750,29560
,Ärter,620,490,320,220,330,460,510,220,210,310,250,520,400,600,560,..,600,720
,Åkerbönor,..,180,130,200,130,260,440,480,400,390,860,1040,1320,950,580,880,770,790
,Höstraps,20,90,210,220,160,100,220,90,30,30,30,120,260,260,460,630,350,660
,Vårraps,760,680,550,510,620,760,890,1570,1760,580,190,290,210,280,130,..,440,950
,Höstrybs,110,130,60,50,..,..,10,30,..,20,..,50,..,0,50,..,..,20
,Vårrybs,1300,830,410,230,370,270,150,300,200,260,270,60,80,40,250,..,70,80
,Stråsädesgrödor (exkl. majs) till grönfoder,..,..,..,..,.,.,1870,2360,2460,3410,3210,2420,2250,5410,3250,2180,3190,1900
,Majs till grönfoder,..,..,..,..,.,.,60,90,70,80,130,140,140,130,150,..,100,120
,Andra ettåriga grödor till grönfoder,..,..,..,..,.,.,20,100,80,250,380,410,500,1030,800,..,1050,1000
,Oljelin,..,0,..,..,..,70,..,..,..,..,10,30,20,..,..,..,..,..
,Matpotatis,620,560,560,520,510,470,490,380,380,330,290,300,300,250,220,200,190,180
,Potatis för stärkelse,..,..,..,..,10,10,..,..,..,..,..,..,..,..,..,..,..,..
,Sockerbetor,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..
,"Slåttervall, första skörd",42810,43470,48240,43470,45360,48100,50210,45030,51410,47850,44260,42330,43220,44020,43030,43410,39660,40550
,"Slåttervall, återväxt",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,43410,.,.
,"Slåttervall, total vallskörd",..,..,..,..,.,.,.,.,.,.,.,.,.,.,.,43410,.,.
18 Örebro län,Höstvete,8120,9850,11690,11140,9260,10810,11920,9240,5330,12910,15330,10610,15800,12400,18080,16670,19590,19150
,Vårvete,6080,5100,4260,5410,5820,7210,7380,7350,9390,7450,6640,8560,6410,6210,4020,4170,3540,4300
,Råg,960,1390,1420,1490,1820,860,540,390,370,410,500,270,370,540,640,..,580,590
,Höstkorn,20,20,30,20,80,230,160,100,50,110,230,300,550,540,950,1050,1290,940
,Vårkorn,18520,13320,13070,17300,17860,12900,13240,16900,18200,15990,13590,15470,14460,16490,11860,12980,10830,10590
,Havre,13000,14120,14830,16640,15220,12800,13900,14360,15150,13500,13150,14430,11300,11170,11090,13450,12770,11430
,Rågvete,1210,1880,1980,1690,1320,700,570,580,490,1320,.,.,.,.,.,.,960,1250
,Höstrågvete,..,..,..,.,.,.,.,.,.,.,1140,750,680,420,930,..,860,1030
,Vårrågvete,..,..,..,.,.,.,.,.,.,.,290,130,80,20,10,..,100,210
