,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation
0,2005,Ale,crop_yield_total,SPEI12,6.270670975099791,0.8346688966568266,Linear,14.089510953079728,0.3812335456311766,1
1,2006,Ale,crop_yield_total,SPEI12,5.982142857142857,0.1574014599518958,Linear,6.904774141551876,5.230881950934689,1
2,2007,Ale,crop_yield_total,SPEI12,5.937607130613644,1.7935556556904209,Linear,4.255197270206891,-6.028713018877697,1
3,2008,Ale,crop_yield_total,SPEI12,5.535033125878337,1.4321048369915663,Linear,-4.482053085093608,-3.3078072129619045,1
4,2009,Ale,crop_yield_total,SPEI12,5.233690360272639,1.8872705595155008,Linear,-11.20687761415494,-6.854301997537995,1
5,2010,Ale,crop_yield_total,SPEI12,5.742847854356307,0.8625267617484437,Linear,-4.186010279601802,0.21188273694056647,1
6,2011,Ale,crop_yield_total,SPEI12,5.217391304347826,0.4419170171295121,Linear,-14.37412506707028,2.9594382495079645,1
7,2012,Ale,crop_yield_total,SPEI12,5.977096416697451,1.5539100870698226,Linear,-3.4821405467343864,-4.155510166190329,1
8,2013,Ale,crop_yield_total,SPEI12,5.820547031354236,1.6679591217531664,Linear,-7.496290448810247,-5.008505433572383,1
9,2014,Ale,crop_yield_total,SPEI12,6.827033218785796,-0.3873940165581077,Linear,6.810485286240266,11.264075092700075,1
10,2015,Ale,crop_yield_total,SPEI12,7.350720658888126,1.2727247990306445,Linear,13.240965140360872,-2.2737060427628606,1
11,2016,Ale,crop_yield_total,SPEI12,6.062900407687828,1.6274630292796946,Linear,-8.008459590655061,-4.698286964671782,1
12,2017,Ale,crop_yield_total,SPEI12,7.604765817584224,-0.0281532146917153,Linear,13.670062933291296,6.995500629530937,1
13,2018,Ale,crop_yield_total,SPEI12,5.432323232323232,1.2617054835801529,Linear,-19.99175946856777,-2.204623923366304,1
14,2019,Ale,crop_yield_total,SPEI12,7.985181333679969,-0.4412144528036443,Linear,15.908698107587082,12.018150042565917,1
