,Time,Municipality,Impact variable,Hazard variable,Impact value,Hazard value,Trend,Observed anomalies,Predicted anomalies,Aggregation,Best_Degree
17,2022,Alingsås,hydro_prod,SPEI12,6428.0,0.5654713866314893,Linear,-21.933335795433564,-0.02473595300506165,1,1
18,2011,Alvesta,hydro_prod,SPEI12,347.0,1.118493703931295,Linear,-2.288552119598826,0.26914867155954464,1,1
19,2012,Alvesta,hydro_prod,SPEI12,598.0,0.9178645954392252,Linear,73.43997187554692,0.24062781393139135,1,1
20,2013,Alvesta,hydro_prod,SPEI12,172.0,0.8895760613351447,Linear,-48.57204986952762,0.23660639720001245,1,1
21,2014,Alvesta,hydro_prod,SPEI12,263.0,-1.1668710053121158,Linear,-18.85448221698685,-0.055732209338720695,1,1
22,2015,Alvesta,hydro_prod,SPEI12,320.0,0.7720928403913998,Linear,1.985629297689212,0.21990532005613495,1,1
23,2016,Alvesta,hydro_prod,SPEI12,224.0,0.4399058811637671,Linear,-26.1774457715812,0.17268257635125045,1,1
24,2017,Alvesta,hydro_prod,SPEI12,191.0,-1.0491085143534695,Linear,-34.83250620347372,-0.03899143197190605,1,1
25,2018,Alvesta,hydro_prod,SPEI12,307.0,1.339024086170192,Linear,8.575899172632834,0.3004986370844447,1,1
26,2019,Alvesta,hydro_prod,SPEI12,368.0,-2.543243414678096,Linear,35.08943668239053,-0.251393356546565,1,1
