Time,Variable,Municipality,Value
2005,HWI,Upplands Väsby,1.2378483125080542
2005,HWI,Vallentuna,1.2496950610145716
2005,HWI,Österåker,1.1259479852464631
2005,HWI,Värmdö,0.9268663502921499
2005,HWI,Järfälla,1.133905189386122
2005,HWI,Ekerö,1.1513811213796141
2005,HWI,Huddinge,1.1201954719748428
2005,HWI,Botkyrka,1.0947810692631164
2005,HWI,Salem,1.1461692156390686
2005,HWI,Haninge,1.0699594546514635
2005,HWI,Tyresö,1.109765613232561
2005,HWI,Upplands-Bro,1.137050603573768
2005,HWI,Nykvarn,1.3399085316261619
2005,HWI,Täby,1.2812134472841477
2005,HWI,Danderyd,1.2956431240735184
2005,HWI,Sollentuna,1.2527438866544587
2005,HWI,Stockholm,1.1649493891560223
2005,HWI,Södertälje,1.282034720755949
2005,HWI,Nacka,1.2306954771175063
2005,HWI,Sundbyberg,1.1909453867124702
2005,HWI,Solna,1.2623028210706957
2005,HWI,Lidingö,1.3336602554289212
2005,HWI,Vaxholm,1.2307467117483442
2005,HWI,Norrtälje,1.1215725016607683
2005,HWI,Sigtuna,1.1589728366159129
2005,HWI,Nynäshamn,1.1382500741443697
2005,HWI,Håbo,1.0322621262385827
2005,HWI,Älvkarleby,1.1843228986937688
2005,HWI,Knivsta,1.1482110047280112
2005,HWI,Heby,0.9700267522508884
2005,HWI,Tierp,0.9440841818269323
2005,HWI,Uppsala,1.0410577672033263
2005,HWI,Enköping,1.0834645815018227
2005,HWI,Östhammar,1.0132034286949168
2005,HWI,Vingåker,1.1810897108032739
2005,HWI,Gnesta,1.4779065542031757
2005,HWI,Nyköping,1.5405808391591693
2005,HWI,Oxelösund,1.5020156198615895
2005,HWI,Flen,1.607731963723248
2005,HWI,Katrineholm,1.5522148368580144
2005,HWI,Eskilstuna,1.4621232043239178
2005,HWI,Strängnäs,1.4298978113684382
2005,HWI,Trosa,1.3710142947971458
2005,HWI,Ödeshög,1.3071736832108547
2005,HWI,Ydre,2.2770540873181178
2005,HWI,Kinda,2.412624544540194
2005,HWI,Boxholm,1.8061031277877528
2005,HWI,Åtvidaberg,2.050262450300776
2005,HWI,Finspång,1.3621059886212026
2005,HWI,Valdemarsvik,1.7704058292977591
2005,HWI,Linköping,2.0249319811892588
2005,HWI,Norrköping,1.694556674887162
2005,HWI,Söderköping,1.8029112375809224
2005,HWI,Motala,1.4421275010563166
2005,HWI,Vadstena,1.4139833094221248
2005,HWI,Mjölby,1.5802545643811512
2005,HWI,Aneby,1.6183894344166698
2005,HWI,Gnosjö,1.407374021154644
2005,HWI,Mullsjö,1.2774963484211317
2005,HWI,Habo,1.2923941507772125
2005,HWI,Gislaved,1.305628119752206
2005,HWI,Vaggeryd,1.4522092442490184
2005,HWI,Jönköping,1.3721869794810377
2005,HWI,Nässjö,1.7121686470152881
2005,HWI,Värnamo,1.5987049766603494
2005,HWI,Sävsjö,1.7726629938234861
2005,HWI,Vetlanda,2.1860740463656345
2005,HWI,Eksjö,2.232988072619954
2005,HWI,Tranås,1.5171308415055074
2005,HWI,Uppvidinge,2.2124944511493583
2005,HWI,Lessebo,2.10444209620139
2005,HWI,Tingsryd,2.045917124879574
2005,HWI,Alvesta,1.8011296093075462
2005,HWI,Älmhult,1.769918105367251
2005,HWI,Markaryd,1.510639351075438
2005,HWI,Växjö,1.9543527167164716
2005,HWI,Ljungby,1.5229892871364614
2005,HWI,Högsby,2.252709309248146
2005,HWI,Torsås,2.45685865669612
2005,HWI,Mörbylånga,2.618085944735096
2005,HWI,Hultsfred,2.3616597355603814
2005,HWI,Mönsterås,2.332860554629194
2005,HWI,Emmaboda,2.2509842292483038
2005,HWI,Kalmar,2.4147516881230033
2005,HWI,Nybro,2.301228066451166
2005,HWI,Oskarshamn,2.214545826990206
2005,HWI,Västervik,2.013049339722598
2005,HWI,Vimmerby,2.4068884493468814
2005,HWI,Borgholm,2.401974709969107
2005,HWI,Gotland,1.9002851727384606
2005,HWI,Olofström,1.9698075450812524
2005,HWI,Karlskrona,2.4062378240766393
2005,HWI,Ronneby,2.1775907464361315
2005,HWI,Karlshamn,2.07563877262697
2005,HWI,Sölvesborg,1.9943387577087144
2005,HWI,Svalöv,1.2835183829275347
2005,HWI,Staffanstorp,1.5976630417643434
2005,HWI,Burlöv,1.5346852773283977
2005,HWI,Vellinge,1.5445372757615567
2005,HWI,Östra Göinge,1.79407596054129
2005,HWI,Örkelljunga,1.3141143133429516
2005,HWI,Bjuv,1.120892034367853
2005,HWI,Kävlinge,1.4564094056792505
2005,HWI,Lomma,1.521029897624882
