Time,Variable,Municipality,Value
2005,HWI,Upplands Väsby,1.5205827486127619
2005,HWI,Vallentuna,1.4768341409700894
2005,HWI,Österåker,1.5443992474683594
2005,HWI,Värmdö,1.6211888884590029
2005,HWI,Järfälla,1.5707438244390417
2005,HWI,Ekerö,1.5502848468086745
2005,HWI,Huddinge,1.6994205826870759
2005,HWI,Botkyrka,1.7516881305477103
2005,HWI,Salem,1.6681613783595353
2005,HWI,Haninge,1.8322129618426648
2005,HWI,Tyresö,1.7784592238072259
2005,HWI,Upplands-Bro,1.5065201413863667
2005,HWI,Nykvarn,1.6400945341251927
2005,HWI,Täby,1.5457286898813973
2005,HWI,Danderyd,1.5688131778939123
2005,HWI,Sollentuna,1.5471763501003817
2005,HWI,Stockholm,1.6386164205978855
2005,HWI,Södertälje,1.7505901174863951
2005,HWI,Nacka,1.687312531870253
2005,HWI,Sundbyberg,1.5922685739557683
2005,HWI,Solna,1.5870040181638239
2005,HWI,Lidingö,1.5817394623718792
2005,HWI,Vaxholm,1.5659066852136097
2005,HWI,Norrtälje,1.4214109142241138
2005,HWI,Sigtuna,1.4768138388295005
2005,HWI,Nynäshamn,1.874042705258906
2005,HWI,Håbo,1.4788192581516133
2005,HWI,Älvkarleby,1.9556134862057268
2005,HWI,Knivsta,1.456792143076013
2005,HWI,Heby,1.6634723771893967
2005,HWI,Tierp,1.7345168402145967
2005,HWI,Uppsala,1.4810247397841285
2005,HWI,Enköping,1.4277739065944484
2005,HWI,Östhammar,1.4994040280774024
2005,HWI,Vingåker,1.4857791112018217
2005,HWI,Gnesta,1.7374619930555835
2005,HWI,Nyköping,1.7777362662540583
2005,HWI,Oxelösund,1.918270231803966
2005,HWI,Flen,1.5544674258710613
2005,HWI,Katrineholm,1.5461094519896137
2005,HWI,Eskilstuna,1.3913209488938727
2005,HWI,Strängnäs,1.4650493638456064
2005,HWI,Trosa,1.897724443186594
2005,HWI,Ödeshög,1.6362730564179804
2005,HWI,Ydre,1.4355765586839255
2005,HWI,Kinda,1.6839285777807311
2005,HWI,Boxholm,1.7330805803137528
2005,HWI,Åtvidaberg,1.9761195015551298
2005,HWI,Finspång,1.7275047581095715
2005,HWI,Valdemarsvik,1.9304629594537532
2005,HWI,Linköping,1.9314499852453308
2005,HWI,Norrköping,1.8210376223338838
2005,HWI,Söderköping,1.9652579565162205
2005,HWI,Motala,1.877863755273809
2005,HWI,Vadstena,1.8746549825186674
2005,HWI,Mjölby,1.8933333648114676
2005,HWI,Aneby,1.2886741798145693
2005,HWI,Gnosjö,0.5974668834670865
2005,HWI,Mullsjö,1.047708226860331
2005,HWI,Habo,1.1563061953250717
2005,HWI,Gislaved,0.505611274323067
2005,HWI,Vaggeryd,0.7931959593505978
2005,HWI,Jönköping,1.0281171112730347
2005,HWI,Nässjö,1.0119169151146181
2005,HWI,Värnamo,0.4208155466855201
2005,HWI,Sävsjö,0.7432608025328332
2005,HWI,Vetlanda,0.9220592524263448
2005,HWI,Eksjö,1.2090576963710196
2005,HWI,Tranås,1.4557298290926315
2005,HWI,Uppvidinge,0.6228119748603181
2005,HWI,Lessebo,0.3835737336086579
2005,HWI,Tingsryd,0.14542290015700948
2005,HWI,Alvesta,0.31198700295794657
2005,HWI,Älmhult,0.26611796106497754
2005,HWI,Markaryd,0.24258842212682216
2005,HWI,Växjö,0.3951486745854106
2005,HWI,Ljungby,0.29548393363613235
2005,HWI,Högsby,0.7500873017260266
2005,HWI,Torsås,0.3338786049824548
2005,HWI,Mörbylånga,0.6580060141419501
2005,HWI,Hultsfred,1.1227398601477299
2005,HWI,Mönsterås,0.7389041960801971
2005,HWI,Emmaboda,0.315332860348988
2005,HWI,Kalmar,0.5054640804699339
2005,HWI,Nybro,0.5200741409771079
2005,HWI,Oskarshamn,1.1205470346170077
2005,HWI,Västervik,1.641438345939184
2005,HWI,Vimmerby,1.406248766643107
2005,HWI,Borgholm,0.7291322010195754
2005,HWI,Gotland,0.9514668946215932
2005,HWI,Olofström,0.09460328912459803
2005,HWI,Karlskrona,0.1942025928994347
2005,HWI,Ronneby,-0.03589151834620628
2005,HWI,Karlshamn,-0.11299125795517494
2005,HWI,Sölvesborg,-0.006142671384496375
2005,HWI,Svalöv,0.009154716540483325
2005,HWI,Staffanstorp,-0.13398657017991455
2005,HWI,Burlöv,-0.1071292227427878
2005,HWI,Vellinge,-0.15455531753158536
2005,HWI,Östra Göinge,0.2728438165104574
2005,HWI,Örkelljunga,0.09044516125225038
2005,HWI,Bjuv,-0.00046847471256877826
2005,HWI,Kävlinge,-0.04054895607933497
2005,HWI,Lomma,-0.07459320787729173
2005,HWI,Svedala,-0.16492565621601313
2005,HWI,Skurup,-0.1088273813673571
2005,HWI,Sjöbo,0.02672003084685477
2005,HWI,Hörby,0.12936634863078048
2005,HWI,Höör,0.1537717309998231
2005,HWI,Tomelilla,0.027472426854682253
2005,HWI,Bromölla,0.110147789839916
2005,HWI,Osby,0.26407333568916547
2005,HWI,Perstorp,0.11922091597026585
2005,HWI,Klippan,0.05725394170484825
2005,HWI,Åstorp,-0.01984171974809392
2005,HWI,Båstad,
2005,HWI,Malmö,-0.10607151807769677
2005,HWI,Lund,-0.08880530132378368
2005,HWI,Landskrona,0.030002020897844827
2005,HWI,Helsingborg,0.05029466624075254
2005,HWI,Höganäs,0.04100466242947931
2005,HWI,Eslöv,0.016476509542564542
2005,HWI,Ystad,-0.06584317982365223
2005,HWI,Trelleborg,-0.18510822361977006
2005,HWI,Kristianstad,0.20677408801793595
2005,HWI,Simrishamn,0.012519812731250995
2005,HWI,Ängelholm,0.00036091091332275075
2005,HWI,Hässleholm,0.23334026189960194
2005,HWI,Hylte,0.25419549705086864
2005,HWI,Halmstad,0.09251485798703157
2005,HWI,Laholm,0.10590120745333965
2005,HWI,Falkenberg,0.23930651125343266
2005,HWI,Varberg,0.5397811347002185
2005,HWI,Kungsbacka,0.963530479598695
2005,HWI,Härryda,1.1414153348774436
2005,HWI,Partille,1.2157950251544698
2005,HWI,Öckerö,
2005,HWI,Stenungsund,1.4398741812065676
2005,HWI,Tjörn,1.4502294046182944
2005,HWI,Orust,1.5230817287446177
2005,HWI,Sotenäs,1.5435800799383381
2005,HWI,Munkedal,1.4849797969664376
2005,HWI,Tanum,1.4055883156632538
2005,HWI,Dals-Ed,1.054514239817056
2005,HWI,Färgelanda,1.3733855003045627
2005,HWI,Ale,1.2588560009870227
2005,HWI,Lerum,1.2013128627267462
2005,HWI,Vårgårda,1.139640268212418
2005,HWI,Bollebygd,1.0547562566022166
