Time,Variable,Municipality,Value
2005,HWI,Upplands Väsby,0.2541404449773797
2005,HWI,Vallentuna,0.3006884179556733
2005,HWI,Österåker,0.3359121957639042
2005,HWI,Värmdö,0.23851278892264716
2005,HWI,Järfälla,0.22580050583676647
2005,HWI,Ekerö,0.1488383708698206
2005,HWI,Huddinge,0.13910529374779076
2005,HWI,Botkyrka,0.06364441114005619
2005,HWI,Salem,0.11641561883735438
2005,HWI,Haninge,-0.014473714290529724
2005,HWI,Tyresö,0.06978317705815806
2005,HWI,Upplands-Bro,0.18629402996479882
2005,HWI,Nykvarn,0.024331767858711363
2005,HWI,Täby,0.2861151504851067
2005,HWI,Danderyd,0.26280494672285953
2005,HWI,Sollentuna,0.26737627844014655
2005,HWI,Stockholm,0.18090205329845258
2005,HWI,Södertälje,0.0012150592510908715
2005,HWI,Nacka,0.14551278444812898
2005,HWI,Sundbyberg,0.23639012305937213
2005,HWI,Solna,0.24884416295207462
2005,HWI,Lidingö,0.2612982028447771
2005,HWI,Vaxholm,0.29740158824190516
2005,HWI,Norrtälje,0.32987905127367206
2005,HWI,Sigtuna,0.2199016335403179
2005,HWI,Nynäshamn,-0.06546238001243872
2005,HWI,Håbo,0.17820130274253781
2005,HWI,Älvkarleby,0.6338470598665522
2005,HWI,Knivsta,0.23150156766436142
2005,HWI,Heby,0.318026703981251
2005,HWI,Tierp,0.4941436897597142
2005,HWI,Uppsala,0.31534488728324955
2005,HWI,Enköping,0.1253145480990703
2005,HWI,Östhammar,0.3686572815296117
2005,HWI,Vingåker,-0.11239266269671573
2005,HWI,Gnesta,-0.11267059622716792
2005,HWI,Nyköping,-0.15212497542077674
2005,HWI,Oxelösund,-0.23806244144374425
2005,HWI,Flen,-0.15214706486519236
2005,HWI,Katrineholm,-0.09322190158365971
2005,HWI,Eskilstuna,-0.19926527897910032
2005,HWI,Strängnäs,-0.09294864889739009
2005,HWI,Trosa,-0.11242344797234168
2005,HWI,Ödeshög,-0.6145863685029761
2005,HWI,Ydre,-0.7816213994631817
2005,HWI,Kinda,-0.40409180651719034
2005,HWI,Boxholm,-0.6029392199625674
2005,HWI,Åtvidaberg,-0.33832393496355095
2005,HWI,Finspång,-0.15917001015036336
2005,HWI,Valdemarsvik,-0.4342213375236193
2005,HWI,Linköping,-0.3561039445965205
2005,HWI,Norrköping,-0.14511712537857566
2005,HWI,Söderköping,-0.28903561022033386
2005,HWI,Motala,-0.439496876541275
2005,HWI,Vadstena,-0.47084333468287215
2005,HWI,Mjölby,-0.5325135580983335
2005,HWI,Aneby,-1.0056005701531734
2005,HWI,Gnosjö,-1.3120709069830285
2005,HWI,Mullsjö,-0.8096901698109931
2005,HWI,Habo,-0.6793358916217511
2005,HWI,Gislaved,-1.393240315507968
2005,HWI,Vaggeryd,-1.2366965950225572
2005,HWI,Jönköping,-1.0093941751327329
2005,HWI,Nässjö,-1.2845618192660977
